party_code,party_name,description
588,KMPP,Kisan Mazdoor Praja Party
589,LKS,Lok Shakti(Hegde)
590,KCVP,Kannada Chalevali Vatal Paksha
591,KNDP,Kannada Naadu Party
592,SKP,Sarvodaya Karnataka Paksha
593,RAHS,Rashtriya Hindustan Sena Karnataka
594,LKPT,Lok Paritran
601,UDP,United Democratic Party
602,HPDP,Hill Peoples Democratic Party
603,MDP,Meghalaya Demoratic Party
604,KHNAM,Khun Hynnieutrip National Awakoning Movement
605,PDM,Peoples Democratic Movement
620,UMFA,United Minorities Front Assam
621,PTCA,Plains Tribals Council of Assam
622,NAGP,Natun Asom Gana Parishad
623,ASDC,Autonomous State Demand Committee
624,AJD,Asom Jatiyatabadi Dal
625,AJP,Asom Jatiya Parishad
626,SLP,Sanjukta Loka Parishad
627,URC,United Reservation Movement Council of Assam
628,RCP,Revolutionary Communist Party of India
629,UTNF,United Tribal Nationalists Liberation Front
630,BPF,Bodaland Peoples Front (assam)
631,UDF,United Democratic Front
640,TNGP,Trinamool Gana Parishad
650,ARC,Arunachal Congress
651,BNP,Bharatiya Navshakti Party
670,NPP,Nagaland Peoples Party / National Peoples Party
671,KNA,Kuki National Assembly
672,MPC,Manipur People's Council
673,FPM,Federal Party of Manipur
674,MSCP,Manipur State Congress
675,MHPC,Manipur Hill Peoples's Council
676,DRPP,Democratic Revolutionary Peoples Party
677,MNC,Manipur National Conference
678,PDA,Peoples Democratic Alliance (Manipur)
680,HSPD,Hill State People's Democratic Party
690,DP,National Democratic Party
691,PPC,People's Conference
692,MZPC,Mizoram People's Conference
693,MNF(N),Mizo National Front(Nationalist)
694,MDF,Maraland Democratic Front
695,ZNP,Zoram Nationalist Party
696,EU,Ephraim Union
697,HPC,Hmar People's Convention
700,NND,Naga National Democratic Party
701,AUDF,Assam United Democratic Front
702,NNO,Nagaland Nationalist Organisation
703,UFN,United Front of Nagaland
704,NPF,Nagaland Peoples Front
705,MLP,Minorities Labour Party
707,BCDP,"Backward Classes Democratic Party ,J&K"
708,BCP,Bharatiya Chaitanya Party
709,JKDPN,J & K Democratic Party Nationalist
710,JKNUF,J & K National United Front
711,JSM(P),Jammu State Morcha (Progressive)
712,SDP,Socialistic Democratic Party
713,NDM,nationalist Democratic Movement
714,UNDP,United Naga Democratic Party
715,APP,Adarsh Political Party
720,RIS,Rising Sun Party
721,SKJP,Sikkim Janata Parishad
722,SCR,Sikkim Congress(R)
723,SPC,Sikkim Prajatantra Congress
724,UGS,United Goans-Sequerie Group
725,UGF,United Goans-Furtado Group
726,SGPP,Sikkim Gorkha Prajatantrik Party
727,SHRP,Sikkim Himali Rajya Parishad
730,WPI,Workers Party of India
731,GOL(BG),Akhil Bhartiya Gorkha League(Bhudiman Gurung)
732,GNLF,Gorkha National Liberation Front
733,WBS(BM),West Bengal Socialist Party(Biman Mitra)
734,IGL,Indian Gorkha League
735,FBS,Forward Bloc (Socialist)
736,JAC,Jana Congress
737,PDS,Party for Democratic Socialism
738,BCP,Bangla Congress Party
739,JKP(N),Jharkhand Party (Naren)
740,RCPI (RB),Revolutionary Communist Party (Rasik Bhatt)
741,DSP,Democratic Socialist Party
760,OVP,Orissa Vikas Parishad
761,KKP,Orissa Khandayat Khetria Krusak Parishad
762,OPF,West Orissa People's Front
763,UTC,Utkal Congress
764,OGP,Orissa Gantantra Parishad
765,GP,(All India)Ganatantra Parishad
766,BJD,Janata Dal(Biju)
767,SAMO,Samuruddha Odisha
768,INPT,Indigenous Nationalist Party of Twipra/Indigenous People's Front of Tripura
780,PDC,Public Demands Implementation Convention
781,AHL(A),All Party Hill Leaders Conference(Armison Marak)
798,PRBP,Peoples Republican Party
800,Other parties,Other Minor Parties
801,AINRC,All India N.R. Congress
802,VCK,Viduthalai Chiruthaigal Katch
804,DMDK,Desiya Murpokku Dravida Kazhagam
805,DPI,Dalit Panthers Party
806,BVA,Bahujan Vikas Aaghadi
807,SWP,Swabhimani Paksha
810,RLSP,Rashtriya Lok Samta Party
812,YSRC,Yuvajana Sramika Rythu Congress Party
814,AAM,Aam Adhikar Morcha
815,AJPI,Aam Janta Party (India)
816,AAPP,Aapki Apni Party (Peoples)
817,AgIMK,Agila India Makkal Kazhagam
818,AHNP,Aihra National Party
819,ABAD,Akhil Bhartiya Apna Dal
820,ABGP,Akhil Bhartiya Gondwana Party
821,ANC,Ambedkar National Congress
822,ASP,Ambedkar Samaj Party
823,APOI,Ambedkarite Party of India
824,ACDP,Anti Corruption Dynamic Party
825,BAHUMP,Bahujan Maha Party
826,BND,Bahujan Nyay Dal
827,BARESP,Bahujan Republican Socialist Party
828,BJKVP,Bajjikanchal Vikas Party
829,BHAPRAP,Bharat Prabhat Party
830,BDJS,Bharath Dharma Jana Sena
831,BJKD,Bharatiya Jan Kranti Dal (Democratic)
832,BMF,Bharatiya Momin Front
833,BNARP,Bharatiya Nyay-Adhikar Raksha Party
834,BPSJP,Bharatiya Praja Surajya Paksha
835,BKNP,Bhartiya Kisan Party
836,BLSD,Bhartiya Lok Seva Dal
837,BLRP,Bhartiya Lokmat Rashtrwadi Party
838,BMFP,Bhartiya Manavadhikaar Federal Party
839,BSCP,Bhartiya Shakti Chetna Party
840,BTP,Bhartiya Tribal Party
841,BBKD,BhartiyaBahujanKranti Dal
842,BLND,Bihar Lok Nirman Dal
843,CPIM,Communist Party of India (Marxist-Leninist) Red Star
844,DPI(A),Democratic Party of India (Ambedkar)
845,DMSK,Desiya Makkal Sakthi Katchi
846,HJP,Hindustan Janta Party
847,HSS,Hindustan Shakti Sena
848,HAM(S),Hindustani Awam Morcha (Secular)
849,HND,Hindusthan Nirman Dal
850,HBP,Hum Bhartiya Party
851,IPBP,India Praja Bandhu Party
852,JPJD,Jai Prakash Janata Dal
853,JKPC,Jammu & Kashmir People Conference
854,JANADIP,Jan Adhikar Party
855,JAJGP,Jana Jagruti Party
856,Janasena,Janasena Party
857,JaKP,Janhit Kisan Party
858,JNJP,Jannayak Janta Party
859,JDL,Jansatta Dal Loktantrik
860,KPP(U),Kamatapur People’s Party (United)
861,LOGAP,Lok Gathbandhan Party
862,LIP,Lok Insaaf Party
863,MSWP,Maharashtra Swabhimaan Paksh
864,MNM,Makkal Needhi Maiam
865,MADP,Moulik Adhikar Party
866,NTK,Naam Tamilar Katchi
867,NDPP,Nationalist Democratic Progressive Party
868,NAPP,Nawan Punjab Party
869,NEIDP,North East India Development Party
870,PP,Peace Party
871,PPOI (D),Peoples Party of India (Democratic)
872,PSP(L),Pragatishil Samajwadi Party (Lohia)
873,PUNEKP,Punjab Ekta Party
874,PJP(S),Purvanchal Janta Party (Secular)
875,RAHIS,Rashtriya Hind Sena
876,RaJSP,Rashtriya Janadhikar Suraksha Party
877,RJsbhP,Rashtriya Jansabha Party
878,RJSPS,Rashtriya Jansambhavna Party
879,RAJP(S),Rashtriya Janshakti Party (Secular)
880,RasLP,Rashtriya Lokswaraj Party
881,RLTP,Rashtriya Loktantrik Party
882,RRP,Rashtriya Rashtrawadi Party
883,RSPS,Rashtriya Samaj Paksha
884,RSMP(S),Rashtriya Samta Party (Secular)
885,RUC,Rashtriya Ulama Council
886,RTORP,Right to Recall Party
887,SGUP,Samagra Utthan Party
888,SMFB,Samajwadi Forward Bloc
889,SPAKP,Sapaks Party
890,SABHP,Sarvodaya Bharat Party
891,SSD,Shoshit Samaj Dal
892,SKM,Sikkim Krantikari Morcha
893,SDPI,SOCIAL DEMOCRATIC PARTY OF INDIA
894,SWAJANPA,Swatantra Jantaraj Party
895,TNLK,Tamil Nadu Ilangyar Katchi
896,TJS,Telangana Jana Samithi
897,UMK,Ulzaipali Makkal Katchy
898,UPPL),"United People’s Party, Liberal"
899,UPJP,Uttama Prajaakeeya Party
900,VBA,Vanchit Bahujan Aaghadi
901,INCP,Indian New Congress Party
902,ViChK,Viduthalai Chiruthaigal Katchi
903,VIIP,Vikassheel Insaan Party
904,INCJMM,INC supported JMM
905,VPI,Voters Party International
906,AITCOTH,AITC Other
908,MULOTH,MUL Other
911,INCRPI,INC supported RPI
915,AKBHAD,Akhil Bhartiya Apna Dal
918,BALP,Baliraja Party
928,JAPL,Jan Adhikar Party (Loktantrik)
931,NAP,Naitik Party
932,PDS,Party for Democratic Socialism
933,SAKAP,Samaj Adhikar Kalyan Party
934,SANVP,Sanyukt Vikas Party
935,SatBP,Satya Bahumat Party
936,ssrd,Sanatan Sanskriti Raksha Dal
937,YJJP,Yuva Jan Jagriti Party
999,NOTA,None of the Above
